year,month,day,land,sea
2018,4,11,77,77
2018,4,12,39,39
2018,4,13,82,82
2018,4,14,41,61
2018,4,15,46,46
2018,4,16,96,96
2018,4,17,93,93
2018,4,18,79,79
2018,4,19,44,37
2018,4,20,77,77
2018,4,21,69,66
2018,4,22,77,66
2018,4,23,56,54
2018,4,24,33,27
2018,4,25,28,30
2018,4,26,43,33
2018,4,27,40,46
2018,4,28,75,60
2018,4,29,102,92
2018,4,30,101,92
2018,5,1,70,59
2018,5,2,80,77
2018,5,3,72,72
2018,5,4,113,109
2018,5,5,104,80
2018,5,6,63,53
2018,5,7,74,74
2018,5,8,84,84
2018,5,9,48,48
2018,5,10,46,41
2018,5,11,84,84
2018,5,12,83,66
2018,5,13,98,98
2018,5,14,52,52
2018,5,15,54,38
2018,5,16,95,95
2018,5,17,73,73
2018,5,18,96,96
2018,5,19,66,59
2018,5,20,97,97
2018,5,21,71,54
2018,5,22,46,46
2018,5,23,35,30
2018,5,24,45,30
2018,5,25,80,47
2018,5,26,79,55
2018,5,27,80,58
2018,5,28,103,68
2018,5,29,50,48
2018,5,30,37,40
2018,5,31,91,91
2018,6,1,48,44
2018,6,2,84,79
2018,6,3,73,72
2018,6,4,78,54
2018,6,5,42,33
2018,6,6,35,35
2018,6,7,44,35
2018,6,8,94,94
2018,6,9,67,70
2018,6,10,45,31
2018,6,11,55,55
2018,6,12,86,79
2018,6,13,90,90
2018,6,14,65,54
2018,6,15,99,99
2018,6,16,77,67
2018,6,17,97,82
2018,6,18,81,81
2018,6,19,88,88
2018,6,20,33,33
